ID,JobDescription,Department
101,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
102,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
103,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
104,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
105,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
106,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
107,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
108,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
109,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
110,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
111,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
112,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
113,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
114,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
115,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
116,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
117,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
118,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
119,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
120,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
121,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
122,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
123,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
124,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
125,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
126,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
127,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
128,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
129,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
130,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
131,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
132,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
133,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
134,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
135,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
136,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
137,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
138,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
139,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
140,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
141,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
142,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
143,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
144,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
145,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
146,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
147,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
148,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
149,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
150,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
151,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
152,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
153,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
154,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
155,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
156,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
157,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
158,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
159,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
160,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
161,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
162,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
163,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
164,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
165,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
166,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
167,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
168,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
169,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
170,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
171,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
172,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
173,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
174,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
175,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
176,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
177,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
178,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
179,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
180,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
181,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
182,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
183,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
184,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
185,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
186,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
187,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
188,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
189,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
190,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
191,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
192,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
193,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
194,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
195,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
196,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
197,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
198,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
199,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
200,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
201,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
202,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
203,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
204,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
205,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
206,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
207,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
208,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
209,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
210,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
211,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
212,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
213,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
214,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
215,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
216,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
217,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
218,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
219,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
220,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
221,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
222,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
223,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
224,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
225,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
226,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
227,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
228,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
229,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
230,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
231,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
232,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
233,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
234,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
235,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
236,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
237,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
238,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
239,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
240,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
241,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
242,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
243,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
244,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
245,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
246,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
247,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
248,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
249,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
250,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
251,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
252,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
253,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
254,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
255,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
256,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
257,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
258,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
259,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
260,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
261,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
262,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
263,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
264,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
265,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
266,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
267,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
268,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
269,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
270,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
271,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
272,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
273,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
274,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
275,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
276,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
277,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
278,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
279,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
280,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
281,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
282,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
283,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
284,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
285,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
286,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
287,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
288,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
289,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
290,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
291,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
292,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
293,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
294,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
295,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
296,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
297,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
298,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
299,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
300,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
301,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
302,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
303,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
304,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
305,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
306,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
307,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
308,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
309,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
310,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
311,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
