ID,Resume_str,Resume_html,Category
1,"Software Engineer professional with 4 years of experience in data structures, Node.js, and algorithms.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>data structures</i>, <i>Node.js</i>, and <i>algorithms</i>.</p>",Software Engineer
2,"Software Engineer professional with 3 years of experience in backend development, algorithms, and MongoDB.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>backend development</i>, <i>algorithms</i>, and <i>MongoDB</i>.</p>",Software Engineer
3,"Mechanical Engineer professional with 5 years of experience in quality inspection, manufacturing processes, and thermodynamics.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>quality inspection</i>, <i>manufacturing processes</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
4,"Mechanical Engineer professional with 1 years of experience in AutoCAD, SolidWorks, and CAD tools.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>AutoCAD</i>, <i>SolidWorks</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
5,"HR professional with 4 years of experience in talent acquisition, onboarding, and recruitment.","<p>HR professional with <b>4 years</b> of experience in <i>talent acquisition</i>, <i>onboarding</i>, and <i>recruitment</i>.</p>",HR
6,"HR professional with 7 years of experience in conflict resolution, talent acquisition, and recruitment.","<p>HR professional with <b>7 years</b> of experience in <i>conflict resolution</i>, <i>talent acquisition</i>, and <i>recruitment</i>.</p>",HR
7,"Business Analyst professional with 5 years of experience in Power BI, SQL, and dashboard reporting.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Power BI</i>, <i>SQL</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
8,"Mechanical Engineer professional with 3 years of experience in manufacturing processes, thermodynamics, and quality inspection.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>manufacturing processes</i>, <i>thermodynamics</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
9,"Business Analyst professional with 5 years of experience in Power BI, dashboard reporting, and data interpretation.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Power BI</i>, <i>dashboard reporting</i>, and <i>data interpretation</i>.</p>",Business Analyst
10,"Mechanical Engineer professional with 2 years of experience in CAD tools, quality inspection, and manufacturing processes.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>CAD tools</i>, <i>quality inspection</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
11,"HR professional with 2 years of experience in HR policies, conflict resolution, and talent acquisition.","<p>HR professional with <b>2 years</b> of experience in <i>HR policies</i>, <i>conflict resolution</i>, and <i>talent acquisition</i>.</p>",HR
12,"Business Analyst professional with 6 years of experience in dashboard reporting, data interpretation, and Excel.","<p>Business Analyst professional with <b>6 years</b> of experience in <i>dashboard reporting</i>, <i>data interpretation</i>, and <i>Excel</i>.</p>",Business Analyst
13,"Marketing professional with 3 years of experience in SEO, digital campaigns, and analytics.","<p>Marketing professional with <b>3 years</b> of experience in <i>SEO</i>, <i>digital campaigns</i>, and <i>analytics</i>.</p>",Marketing
14,"Business Analyst professional with 3 years of experience in Power BI, data interpretation, and dashboard reporting.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>Power BI</i>, <i>data interpretation</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
15,"Mechanical Engineer professional with 4 years of experience in thermodynamics, quality inspection, and manufacturing processes.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>thermodynamics</i>, <i>quality inspection</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
16,"Marketing professional with 6 years of experience in analytics, digital campaigns, and social media.","<p>Marketing professional with <b>6 years</b> of experience in <i>analytics</i>, <i>digital campaigns</i>, and <i>social media</i>.</p>",Marketing
17,"Business Analyst professional with 4 years of experience in dashboard reporting, data interpretation, and Excel.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>dashboard reporting</i>, <i>data interpretation</i>, and <i>Excel</i>.</p>",Business Analyst
18,"HR professional with 5 years of experience in conflict resolution, employee engagement, and HR policies.","<p>HR professional with <b>5 years</b> of experience in <i>conflict resolution</i>, <i>employee engagement</i>, and <i>HR policies</i>.</p>",HR
19,"HR professional with 6 years of experience in employee engagement, talent acquisition, and onboarding.","<p>HR professional with <b>6 years</b> of experience in <i>employee engagement</i>, <i>talent acquisition</i>, and <i>onboarding</i>.</p>",HR
20,"Business Analyst professional with 4 years of experience in dashboard reporting, data interpretation, and client communication.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>dashboard reporting</i>, <i>data interpretation</i>, and <i>client communication</i>.</p>",Business Analyst
21,"Marketing professional with 3 years of experience in analytics, digital campaigns, and SEM.","<p>Marketing professional with <b>3 years</b> of experience in <i>analytics</i>, <i>digital campaigns</i>, and <i>SEM</i>.</p>",Marketing
22,"Mechanical Engineer professional with 1 years of experience in SolidWorks, quality inspection, and CAD tools.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>SolidWorks</i>, <i>quality inspection</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
23,"Business Analyst professional with 3 years of experience in client communication, data interpretation, and Power BI.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>client communication</i>, <i>data interpretation</i>, and <i>Power BI</i>.</p>",Business Analyst
24,"Business Analyst professional with 7 years of experience in SQL, data interpretation, and dashboard reporting.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>SQL</i>, <i>data interpretation</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
25,"HR professional with 7 years of experience in recruitment, HR policies, and conflict resolution.","<p>HR professional with <b>7 years</b> of experience in <i>recruitment</i>, <i>HR policies</i>, and <i>conflict resolution</i>.</p>",HR
26,"Software Engineer professional with 3 years of experience in backend development, Java, and data structures.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>backend development</i>, <i>Java</i>, and <i>data structures</i>.</p>",Software Engineer
